terminal,year,passengers
Terminal 1,2014,24545711
Terminal 1,2015,22298140
Terminal 1,2016,25305221
Terminal 1,2017,28196313
Terminal 1,2018,28021775
Terminal 1,2019,29128481
Terminal 1,2020,5985403
Terminal 1,2021,2087622
Terminal 1,2022,13162786
Terminal 1,2023,23625580
Terminal 2,2014,24026123
Terminal 2,2015,26319086
Terminal 2,2016,27119023
Terminal 2,2017,30267030
Terminal 2,2018,31866394
Terminal 2,2019,33128941
Terminal 2,2020,7134875
Terminal 2,2021,1858491
Terminal 2,2022,12066697
Terminal 2,2023,23558968
