KUALA LUMPUR (Kuala Lumpur International Airport 1 & 8),destination,total number of passenger,origin latitude,origin longitude,destination latitude,destination longitude,
KUALA LUMPUR (Kuala Lumpur International Airport 1 & 9),ALOR SETAR (Sultan Abdul Halim Airport),222887.00 ,2.75 ,101.71 ,6.19 ,100.40 ,
KUALA LUMPUR (Kuala Lumpur International Airport 1 & 10),JOHOR BAHRU (Senai International Airport),349340.00 ,3.75 ,102.71 ,1.64 ,103.67 ,
KUALA LUMPUR (Kuala Lumpur International Airport 1 & 11),KOTA BHARU (Sultan Ismail Petra Airport),577264.00 ,4.75 ,103.71 ,6.17 ,102.29 ,
KUALA LUMPUR (Kuala Lumpur International Airport 1 & 12),KOTA KINABALU (Kota Kinabalu International Airport),1360597.00 ,5.75 ,104.71 ,5.94 ,116.05 ,
KUALA LUMPUR (Kuala Lumpur International Airport 1 & 13),KUALA TERENGGANU (Sultan Mahmud Airport),229815.00 ,6.75 ,105.71 ,5.38 ,103.10 ,
KUALA LUMPUR (Kuala Lumpur International Airport 1 & 14),KUANTAN (Kuantan Airport),70644.00 ,7.75 ,106.71 ,3.78 ,103.21 ,
KUALA LUMPUR (Kuala Lumpur International Airport 1 & 15),KUCHING (Kuching International Airport),1157553.00 ,8.75 ,107.71 ,1.48 ,110.35 ,
KUALA LUMPUR (Kuala Lumpur International Airport 1 & 16),LABUAN (Labuan Airport),125803.00 ,9.75 ,108.71 ,5.30 ,115.25 ,
KUALA LUMPUR (Kuala Lumpur International Airport 1 & 17),LANGKAWI (Langkawi International Airport),867836.00 ,10.75 ,109.71 ,6.33 ,99.73 ,
KUALA LUMPUR (Kuala Lumpur International Airport 1 & 18),MIRI (Miri Airport),411692.00 ,11.75 ,110.71 ,4.32 ,113.99 ,
KUALA LUMPUR (Kuala Lumpur International Airport 1 & 19),PENANG (Penang International Airport),871039.00 ,12.75 ,111.71 ,5.30 ,100.28 ,
KUALA LUMPUR (Kuala Lumpur International Airport 1 & 20),SIBU (Sibu Airport),332950.00 ,13.75 ,112.71 ,2.26 ,111.99 ,
KUALA LUMPUR (Kuala Lumpur International Airport 1 & 21),TAWAU (Tawau Airport),421115.00 ,14.75 ,113.71 ,4.32 ,118.13 ,
ALOR SETAR (Sultan Abdul Halim Airport),KUALA LUMPUR (Kuala Lumpur International Airport 1 & 8),215184.00 ,6.19 ,100.40 ,2.75 ,101.71 ,
JOHOR BAHRU (Senai International Airport),KUALA LUMPUR (Kuala Lumpur International Airport 1 & 9),309987.00 ,1.64 ,103.67 ,3.75 ,102.71 ,
KOTA BHARU (Sultan Ismail Petra Airport),KUALA LUMPUR (Kuala Lumpur International Airport 1 & 10),564958.00 ,6.17 ,102.29 ,4.75 ,103.71 ,
KOTA KINABALU (Kota Kinabalu International Airport),KUALA LUMPUR (Kuala Lumpur International Airport 1 & 11),1349879.00 ,5.94 ,116.05 ,5.75 ,104.71 ,
KUALA TERENGGANU (Sultan Mahmud Airport),KUALA LUMPUR (Kuala Lumpur International Airport 1 & 12),222501.00 ,5.38 ,103.10 ,6.75 ,105.71 ,
KUANTAN (Kuantan Airport),KUALA LUMPUR (Kuala Lumpur International Airport 1 & 13),70534.00 ,3.78 ,103.21 ,7.75 ,106.71 ,
KUCHING (Kuching International Airport),KUALA LUMPUR (Kuala Lumpur International Airport 1 & 14),1160128.00 ,1.48 ,110.35 ,8.75 ,107.71 ,
LABUAN (Labuan Airport),KUALA LUMPUR (Kuala Lumpur International Airport 1 & 15),126761.00 ,5.30 ,115.25 ,9.75 ,108.71 ,
LANGKAWI (Langkawi International Airport),KUALA LUMPUR (Kuala Lumpur International Airport 1 & 16),848521.00 ,6.33 ,99.73 ,10.75 ,109.71 ,
MIRI (Miri Airport),KUALA LUMPUR (Kuala Lumpur International Airport 1 & 17),410352.00 ,4.32 ,113.99 ,11.75 ,110.71 ,
PENANG (Penang International Airport),KUALA LUMPUR (Kuala Lumpur International Airport 1 & 18),854585.00 ,5.30 ,100.28 ,12.75 ,111.71 ,
SIBU (Sibu Airport),KUALA LUMPUR (Kuala Lumpur International Airport 1 & 19),334308.00 ,2.26 ,111.99 ,13.75 ,112.71 ,
TAWAU (Tawau Airport),KUALA LUMPUR (Kuala Lumpur International Airport 1 & 20),419506.00 ,4.32 ,118.13 ,14.75 ,113.71 ,
